,tweet_id,created_at,user,location,text
454,'1128720173085671424,2019-05-15 17:53:54,EarthCam,"Upper Saddle River, NJ",#EarthCam is excited for the opening of the new #StatueofLibertyMuseum tomorrow! Check out our time-lapse and learn… https://t.co/gfxcqJ25mx
455,'1128713805972877321,2019-05-15 17:28:36,StatueCruises,"Battery Park, Manhattan","We have two departure locations for your convenience:

Battery Park, New York, NY
Liberty State Park, Jersey City,… https://t.co/Tfy5sUaLYN"
456,'1128711800244117507,2019-05-15 17:20:38,trevorwoodbury,"Arlington, VA","Statue of Liberty 🗽 🇺🇸 .
.
#ladyliberty #statueofliberty #freedom #independence #NY #NYC #NewYork #NewYorkCity… https://t.co/49Xd5UlBUM"
457,'1128706920339079169,2019-05-15 17:01:14,mattboy93,"New York, NY",The original Lady Liberty torch is the centerpiece of the new #StatueofLibertyMuseum https://t.co/pHddZSgsfM
458,'1128705115794415622,2019-05-15 16:54:04,jselanikio,"Washington, DC",Been checking out the new Statue of Liberty augmented reality app that @tim_cook has been talking about and it’s pr… https://t.co/kqfOWJRVo7
459,'1128698000002506752,2019-05-15 16:25:48,JoyKarley,"New York, NY",What a beautiful day! #esb #empirestateofmind #empirestatebuilding #ladyliberty #statueofliberty #ilovenyc #iloveny… https://t.co/0xlLq7wRj0
460,'1128694537289981952,2019-05-15 16:12:02,FromTheMystery,Our local planet - Earth,Feeling #journey nudge: read https://t.co/wnGwWtZ1Qt #photography #NYC #travel #StatueOfLiberty #teach #Millenial… https://t.co/jQQLT6tQhx
461,'1128690142284275713,2019-05-15 15:54:34,Caffeinetrekkie,"FL., USA","How cool is this! 🤩 #LadyLiberty in #AugmentedReality : See her like never before. (From way above, for instance.)… https://t.co/1bBsZrNShM"
462,'1128687934998237185,2019-05-15 15:45:48,MarkvandeMortel,Heel (Limburg),Really awesome app about  @StatueEllisFdn #StatueOfLiberty #AR https://t.co/vQRXygqfAe
463,'1128685700172226561,2019-05-15 15:36:55,st_drawings30,"Mumbai, India","Statue of liberty ❤
.
#sketchday #perfect #sketchbook #sketching #m.ansari #architecture #architecturestudent… https://t.co/cc8NHlQYv5"
464,'1128684776896942080,2019-05-15 15:33:15,CityPASS,Big Savings in Big Cities,The #StatueOfLiberty has a new museum—and a podcast. @StatueEllisNPS @StatueCruises https://t.co/u7OpTqfBLG
465,'1128682046774218752,2019-05-15 15:22:24,EarthCam,"Upper Saddle River, NJ",A huge thanks to @contractormag for celebrating the opening of the new #StatueofLibertyMuseum with us! Learn more a… https://t.co/nflU3QoFQu
466,'1128669399068446720,2019-05-15 14:32:09,a_o_tucker,Arizona,"Give Me Your Tired, Your Poor Photo by Archie Tucker — National Geographic Your Shot https://t.co/MhygDcgIdz… https://t.co/m4zt40U2sO"
467,'1128665018030088192,2019-05-15 14:14:44,ESIDesign,"New York, NY",We'll be joining our #StatueOfLibertyMuseum partner @FXCollaborative today at #NYCxDESIGN to give a behind the scen… https://t.co/7Y6VHlh5p9
468,'1128664236253691905,2019-05-15 14:11:38,RJawashi,Tripoli,New one join the collection #statueofliberty #USA #NY https://t.co/TYNSFsoL7L
469,'1128661329311563776,2019-05-15 14:00:05,stardust_test,Canada & France,The #StatueofLiberty gets an #AR #app to celebrate its new museum – #Tech #NewYork #USA #Innovation… https://t.co/wVsewXJroa
470,'1128658489755222016,2019-05-15 13:48:48,USPPNYFO,"New York, USA",The new Liberty Island museum opens tomorrow! Please take a moment and view the time lapse video of its constructio… https://t.co/Zqklc2SmH1
471,'1128653913274687488,2019-05-15 13:30:36,TRAVELSAVERS_US,"Oyster Bay, NY","The Statue of Liberty Has Something New to Show Off! Check it out ⬇️
#statueofliberty #beintheknow #traveladvisor… https://t.co/0FaVYkFmr0"
472,'1128646403323047938,2019-05-15 13:00:46,astridkuljanic,New York,"Care for some Freedom Flowers, or maybe Liberty Fries? Remember those?!? Seems as important as Liberty Lady these d… https://t.co/aOLozL0gnm"
473,'1128645590571802624,2019-05-15 12:57:32,LauraMancaITA,Italia,"It's been 9 years since I took this picture. It never gets old. 
•
•
•
•
•
•
•
•
•
•
#statueofliberty #nyc… https://t.co/b05A0hHbuM"
474,'1128636664849453058,2019-05-15 12:22:04,trendingwwwandw,"Arizona, USA","🗽🇺🇸
#StatueofLiberty and Ellis Island in #NewYork #Experience #Tourism #Travel @StatueEllisNPS  
 Story at..… https://t.co/bgEfwe4HM5"
475,'1128631777604636678,2019-05-15 12:02:39,MEventhen,"Malmoe, Lund, Sweden","”Give me your tired, give me your poor, give me your huddled masses yearning to breathe free” #statueofliberty https://t.co/UIRBqcRRiG"
476,'1128625337573740544,2019-05-15 11:37:03,NBCPhiladelphia,"Philadelphia, PA",🗽 A new museum opening at the #StatueofLiberty is giving visitors another opportunity to explore its history and th… https://t.co/GaeiU2GRGz
477,'1128623101212753921,2019-05-15 11:28:10,MartineGerardRE,"New York, NY",New York's Statue of Liberty Museum Finally Opens to the Public #StatueofLiberty https://t.co/DdxMC5Qc44 via @ArchDigest
478,'1128607229228343296,2019-05-15 10:25:06,StatueEllisFdn,"New York, NY USA",New #museum opening at Statue of Liberty on Thursday! #StatueofLibertyMuseum🗽https://t.co/swdKV5nDtZ via @SFGate
479,'1128600447139246080,2019-05-15 09:58:09,travel_instinct,"Sydney, Australia","Lady Liberty’s original 3,600 pound torch gets a new home this week. @StatueEllisNPS @StatueEllisFdn 🗽

#NewYork… https://t.co/M5F3mu1uie"
480,'1128592977700499456,2019-05-15 09:28:28,railroadPhil,"Hamilton, Ontario","This climb near killed me #worthit #gellerthill #statueofliberty #budapest #huttonsgotoeurope @ Budapest , Statue o… https://t.co/LCt3rHy8ef"
481,'1128590972906917889,2019-05-15 09:20:30,ange1914,,"Official #StatueOfLiberty #app offers #AugmentedReality views, including a view no one has seen since 1916… https://t.co/TrulZqVJax"
482,'1128584327921430528,2019-05-15 08:54:06,worldnewsdotcom,,"Statue of Liberty museum set to open amid immigration debate

#StatueofLiberty #StatueofLibertymuseum… https://t.co/bjYsqUCqTn"
483,'1128580017833820161,2019-05-15 08:36:58,IronClawEnt,"Los Angeles, CA","A miniaturized version of the Statue of Liberty. #vacation #travel #japan #statueofliberty @ Minato-ku, Tokyo, Japan https://t.co/hvlXak4jgw"
484,'1128578940556271616,2019-05-15 08:32:42,sarahlynnpablo,"Chicago, IL","Give me your tired, your poor,
Your huddled masses yearning to breathe free,
The wretched refuse of your teeming sh… https://t.co/xIYQlh4r7Q"
485,'1128538130770825216,2019-05-15 05:50:32,puneshoroficial,"Pune, India","Memories captured through the lenses!!
.
.
.
.#7wonders #7wondersoftheworld #7wonderscities #gardens #tajmahal… https://t.co/Ka3azVFYF6"
486,'1128513609603145728,2019-05-15 04:13:05,newyorkled,NYC,Nicholas Garrison of FXCollaborative speaks at the Statue of Liberty Museum preview. @StatueEllisNPS… https://t.co/VqUQliZQDy
487,'1128485608517771264,2019-05-15 02:21:49,BntnHistSoc,"Boonton, New Jersey","Exciting! And congratulations to #Boonton-based Phelps Construction, who built the new museum! 
👏👏👏… https://t.co/fSXf9jDpXZ"
488,'1128463001521143808,2019-05-15 00:52:00,Sean_Virgo,"Brooklyn, NY",Who knew Alabama had a 1/5 replica of Lady Liberty? #travel #alabama #statueofliberty #picoftheday #photooftheday… https://t.co/2z7ixArLN6
489,'1128459031536783360,2019-05-15 00:36:13,Hector__Aguilar,,"#OneDollar #Coin #Money #StatueOfLiberty 🗽#MyBodySaysGoToNewYorkAgain @ New Britain, Connecticut https://t.co/O6RjTniUA2"
490,'1128454933588652032,2019-05-15 00:19:56,artistamarisa,"Brooklyn, NY",Excited about the new #StatueofLiberty museum 🗽🗽https://t.co/6iddNnnadB
491,'1128441481516257281,2019-05-14 23:26:29,NnproftsNCoffee,"New York, NY",Thank you @tim_cook !! We are so proud at @statueellisfdn of all of the amazing and inspiring minds who made this h… https://t.co/zZ0S8WR3lq
492,'1128439887101927424,2019-05-14 23:20:09,StatueEllisFdn,"New York, NY USA",You can catch the same sneak peak of the new #StatueOfLibertyMuseum as the press did earlier today. Just two more d… https://t.co/QmNNQCBHj3
493,'1128434478773354496,2019-05-14 22:58:39,TravelTreatEat,Long Island,Clearly beautiful 🗽 NYC 📍 #traveltreats #statueofliberty #fun #newyork #views #tour #boattour #blueskies #nyc… https://t.co/TxLDwbOkM7
494,'1128433300840886272,2019-05-14 22:53:58,Belengeuve,,"#amiguruMay by @airali_gray #day14: fave pattern.

I'm not sure which one is my favorite one. My little version of… https://t.co/HcKVH4rLvA"
495,'1128425514128084998,2019-05-14 22:23:02,der_inder,"Ulm, Stuttgart, NYC & München","Staten Island Ferry
·
·
·
#statenislandferry #nyc #statenislandferryboatcats #newyork #newyorkcity… https://t.co/Zdc6tsjWYZ"
496,'1128422810576199680,2019-05-14 22:12:17,CJAHorsten,"New York, USA",🗽🗽🗽 Sneak peek of the new @StatueEllisNPS museum opening Thursday #dpareporter @dpa #statueofliberty https://t.co/t3ISeUHstB
497,'1128418043363774464,2019-05-14 21:53:21,TechTeacher1381,"Texas, USA","Great app by @StatueEllisFdn! Check out the Statue of Liberty in AR! 
#ARVRinEDU #AugmentedReality #StatueofLiberty… https://t.co/08yAjPq1TI"
498,'1128411537725517825,2019-05-14 21:27:30,travel_instinct,"Sydney, Australia","New York: New Museum For Swamped Lady Liberty 

#NewYork #Travel #StatueOfLiberty #Museum #NYC… https://t.co/shbhlPDOQy"
499,'1128406217116856323,2019-05-14 21:06:21,StatueEllisFdn,"New York, NY USA",A rainy morning didn't stop @Ginger_Zee! #GMA did their weather segments from the new #StatueOfLibertyMuseum today.… https://t.co/H9yEBdrK24
500,'1128401810182422528,2019-05-14 20:48:50,StatueKain,,Justin’s forearm in process . #ladylibertytattoo #ladyjusticetattoo #ladyliberty #ladyjustice #hustlebutter… https://t.co/ZpTbjuhQFk
501,'1128396417377214466,2019-05-14 20:27:25,AJX8141,TriState to Sunshine state(FL),Apple's newest AR app lets you visit the Statue of Liberty anywhere https://t.co/IOPN1Bn6NM #apple #ny #statueofliberty #AR
502,'1128388366649700352,2019-05-14 19:55:25,meetingstoday,United States,#StatueofLiberty Museum opens May 16 on Liberty Island. //See the upgrades! https://t.co/3rfnOTj0TC #eventprofs… https://t.co/MjX7dlKL2y
503,'1128386337223184385,2019-05-14 19:47:21,malbertnews,"Washington, D.C.","A new museum by @StatueEllisFdn for #LadyLiberty opens at @StatueEllisNPS, @CBSNews rpts: https://t.co/2iMfDdaTeH #StatueofLiberty"
504,'1128384185092190208,2019-05-14 19:38:48,PlukPet,,"#Czechia Yawn, another fake drummer that does the #StatueOfLiberty, or thinks he is a DJ.
#EurovisieSongfestival #TelAviv"
505,'1128380657854554113,2019-05-14 19:24:47,SteveBrant,"New York, NY",@SimonWDC @ThePlumLineGS Great point. Related: I invite you to visit the new #StatueOfLiberty Museum the next time… https://t.co/JGnmkHhdub
506,'1128367595470585856,2019-05-14 18:32:53,newyorkled,NYC,"View from the roof of the new Museum at Liberty Island in NYC
@StatueEllisNPS #StatueOfLiberty #museum https://t.co/xk5PudxMyk"
507,'1128360779051356160,2019-05-14 18:05:48,IvanPer4,"New York, NY","The larger, more modern looking #StatueofLibertyMuseum is ready for its debut this week https://t.co/AJDV7tdzSp"
508,'1128342055858647040,2019-05-14 16:51:24,ESIDesign,"New York, NY","The new #StatueOfLibertyMuseum, with experience and exhibit design by ESI, opens Thursday to the public! Take a loo… https://t.co/rfShWIKqAU"
509,'1128339417754689537,2019-05-14 16:40:55,EriksenTrans,"Brooklyn, NY",The new Statue of Liberty Museum opens to the public this week! Eriksen was honored to work with @acoustiguide on t… https://t.co/DaN1l2vi0G
510,'1128337118357598208,2019-05-14 16:31:47,RichardMackPhot,"Evanston, IL",Sometimes it is hard to decide... #richardmackphoto #colorphotography #blackandwhitephotography #ladyliberty… https://t.co/gT9LlsDpec
511,'1128336843450265601,2019-05-14 16:30:41,packetlogix,United States,Tomorrow's the day! - and BridgeWave's true fiber wireless system will be there supporting Wi-Fi connectivity for m… https://t.co/LGjNv64t3O
512,'1128332151227867137,2019-05-14 16:12:02,FromTheMystery,Our local planet - Earth,Feeling a #journey nudge: try https://t.co/wnGwWtZ1Qt #photography #NYC #NYC2005 #StatueOfLiberty #Teacher… https://t.co/XYnLaooA9V
513,'1128331930103980032,2019-05-14 16:11:10,BridgeWave,"San Diego, CA",Tomorrow's the day! - and BridgeWave's true fiber wireless system will be there supporting Wi-Fi connectivity for m… https://t.co/98zdmTdFF2
514,'1128329137037479943,2019-05-14 16:00:04,traferral,"Miami, FL",Take a great photo of the Statue of Liberty during this pedestal tour.  #statueofliberty #nyc   (more info...… https://t.co/vQvNGJvtPi
515,'1128323722560049153,2019-05-14 15:38:33,brian4NY,"ÜT: 40.854982,-73.968413","FINALLY, New museum celebrating #StatueofLiberty to open in her shadow. But big concern about #ClimateChange My sto… https://t.co/uGYK2XlDmg"
516,'1128315483315478528,2019-05-14 15:05:48,jphoganorg,jph@jphogan.org,@PoetJPHogan @realDonaldTrump @POTUS #PoetJPHogan #photographs #NYC #photography #photos of 3/26 &amp; 4/1… https://t.co/bZkTkVvSiX
517,'1128315382559907840,2019-05-14 15:05:24,LocalikeNewYork,New York City,MAY16: Statue of Liberty Museum opens on @StatueEllisNPS. The new museum will feature a theatre &amp; two galleries ded… https://t.co/3HkNmrFpUo
518,'1128305344722026496,2019-05-14 14:25:31,ArcDeck,Worldwide / info@arcdeck.com,The #StatueOfLiberty #Museum Opens in #NewYorkCity  https://t.co/xgBrKiQZOT
519,'1128303261876932608,2019-05-14 14:17:15,Chloe_AWilson,"New York, NY","Looking for a new #podcast? My latest project, Raising The Torch, is available to listen to on @ApplePodcasts TODAY… https://t.co/Rvs3Srh1zd"
520,'1128302682958192640,2019-05-14 14:14:57,TommasoCartia,"New York, NY",Her majesty of freedom #thestatueofliberty #liberty #freedom #statueofliberty #hudsonriver #river #cruise… https://t.co/x2DsHc4GAL
521,'1128298681092968455,2019-05-14 13:59:03,EmilyMaeHood,"Long Island, NY",Our family climbed to the crown of an iconic NY beauty! Spring is perfect for a visit to this #nationalpark… https://t.co/beQnQROSpU
522,'1128297394846650368,2019-05-14 13:53:56,a1biz,,New #StatueofLiberty Museum is #crownjewel of #Liberty Island upgrade https://t.co/BgOn2GaFnC via @usatoday -… https://t.co/Fjhzt1ZXgQ
523,'1128284346614345729,2019-05-14 13:02:05,GamerGeekNews,,"Thanks to AR, the Statue of Liberty is more accessible than ever https://t.co/aohj4lNrbL #augmentedreality #statueofliberty #entertainment"
524,'1128283363771584512,2019-05-14 12:58:11,naxionality,,"I Love USA - Statue of Liberty Naxionality Kids T-Shirt 

#usa
#iloveusa 
#statueofliberty 
#newyork
#naxionality… https://t.co/LAeYNPE8Xq"
525,'1128269727757848577,2019-05-14 12:03:59,sergio_jardin,"Salta, Argentina","New York, Statue of Liberty.                           #statueofliberty🗽 #libertyisland #libertyisland🗽 #newyork… https://t.co/MuiPEcRwUP"
526,'1128263694742433792,2019-05-14 11:40:01,middleagetravel,"Brisbane, Queensland","Statue of Liberty - A Photo Gallery 

#travel #NewYorkCity #StatueofLiberty #travelphotography… https://t.co/gsuLP75ui0"
527,'1128205066215706624,2019-05-14 07:47:03,RitzMagChennai,"Chennai, TN","Young Indian to win the 2019 Ellis Island Award

#YoungestIndian, #Amitabhshah @yuvagnr #Ellisislandmedalofhonor… https://t.co/W6hhmnoxsU"
528,'1128154833033277440,2019-05-14 04:27:26,IMthebanjoboy,United States,"#StatueofLiberty  ""Give me your tired, your poor, your HUDDLED MASSES... Yearning to breathe free."" (Why are they h… https://t.co/Fnvn6zG9r2"
529,'1128147750866939904,2019-05-14 03:59:18,sebaojeda8,SCL,Day 5 #empirestatebuilding #statueofliberty #chargingbull #flatiron @ Empire State Building https://t.co/LJoG6PcIy3
530,'1128135660362190848,2019-05-14 03:11:15,borja_paquito,Móstoles,"New York, I'll back! 🇺🇲 #newyork #centralpark #trip #skyline #statueofliberty #empirestate #travel en New York, New… https://t.co/je9mpyIeSX"
531,'1128125102455951360,2019-05-14 02:29:18,heyjoenyc,"Brooklyn, NY",Many ways to see the @statueellisnps #statueofliberty like #today in the fog with the #statenislandferry passing by… https://t.co/Lh7BNxYmDh
532,'1128084578827231233,2019-05-13 23:48:17,ArjunKhanal06,United States,Just one of thise days when you feel like doing something different. #SeatheCity #Manhattan #NewYork #SummerTime… https://t.co/odVJltxMHD
533,'1128051465153667073,2019-05-13 21:36:42,StatueCruises,"Battery Park, Manhattan",Our guest are as creative as they can be but first you have to come by for a chance of a photo this closeup. Book y… https://t.co/FlHGdRBGj5
534,'1128042361039327232,2019-05-13 21:00:31,PoscaUSA,"San Francisco, CA",@roeeo travels all over the world doing these cool little travel card sketches.  Thanks for taking POSCA markers al… https://t.co/vRWUaZEKdo
535,'1128034695709691904,2019-05-13 20:30:03,traferral,"Miami, FL",Take a great photo of the Statue of Liberty during this pedestal tour.  #statueofliberty #nyc   (more info...… https://t.co/fdL353agRG
536,'1128034527366959104,2019-05-13 20:29:23,tourpreneurshow,,Diane von Furstenberg talks bringing the new Statue of Liberty Museum to life. https://t.co/zxJAhHdmnW #museum… https://t.co/50YL4UzkqB
537,'1128030096810336256,2019-05-13 20:11:47,tourpreneurshow,,First look: New Statue of Liberty Museum is crown jewel of Liberty Island upgrade https://t.co/kqITS9hNi2 via… https://t.co/k02TmQTZVF
538,'1128020975474311168,2019-05-13 19:35:32,IAMVonRoberts,New York City,"Took this photo years ago, Kinda miss this chic from my old apt in Red Hook, Brooklyn at least her liberty is still… https://t.co/st1QIefMOd"
539,'1128019300646834176,2019-05-13 19:28:53,OurCarpeDiem,"New Hampshire, USA","@normalinnet https://t.co/3gg8oDLFw2

#travel to #NewYorkCity and see the #StatueOfLiberty for #free
#budgettravel"
540,'1128012010141233152,2019-05-13 18:59:55,onabatova,"Toronto, Canada","If you are looking for VR artist to life paint at your event or conference , give me a call. I have experience and… https://t.co/TmPvuNvPkN"
541,'1128008115100823556,2019-05-13 18:44:26,ThisBikerReads,,Our annual @288Eagles Shooting STARS week was off to a rainy but fantastic start. My group is… https://t.co/D8qNOrr6zz
542,'1128001977994997762,2019-05-13 18:20:03,SallyngoO,,"""WORLDS BEST TOURIST ATTRACTION.""
VISIT STATUE OF LIBERTY, NEW YORK
@SallyngoO
☑️ Like ☑️ Share ☑️ Comment
#newyork… https://t.co/x45SaTDnqB"
543,'1127987120843513856,2019-05-13 17:21:01,MelSmithDesigns,london,"#NewYork. What a place.

You been? Where's your favourite spot...#CentralPark? #StatueOfLiberty?… https://t.co/lLXeokHxkH"
544,'1127982335088123905,2019-05-13 17:02:00,murielwatkins,,"The new Statue of Liberty Museum opens this week, on May 16, on Liberty Island in New York Harbor_ #EllisIsland… https://t.co/0fujbY6dWJ"
545,'1127978999957917696,2019-05-13 16:48:45,heyiworkedthere,,"457 #statueofliberty🗽 #statueofliberty 

Museum opens Wednesday. Tent is for party I wasn't invited to. @ Statue of… https://t.co/D7j2CzEHNp"
546,'1127975443171282944,2019-05-13 16:34:37,ESIDesign,"New York, NY","DVF speaks about her involvement with the new #StatueofLibertyMuseum, and how ""with Edwin Schlossberg, the museum’s… https://t.co/S6ZYh57GZZ"
547,'1127969760866721793,2019-05-13 16:12:02,FromTheMystery,Our local planet - Earth,Feeling a #journey nudge: read https://t.co/wnGwWtZ1Qt #photography #NYC #NYC2005 #StatueOfLiberty #Teacher… https://t.co/GFvMXhJDZM
548,'1127958661534502918,2019-05-13 15:27:56,F3eJay,"LR, Republica Dominicana",In GTA saga this is the Statue of Happiness 🗽 #statueofliberty #Statue #nyc #photography #photographer #Instagood… https://t.co/vnar6V7qLC
549,'1127939100445749250,2019-05-13 14:10:12,dlmnsvideo,Europe - USA - Asie,"Liberty storm 🗽
#liberty #libertyisland #newyork #statueofliberty https://t.co/z9M6mM5gKI"
550,'1127907955138076673,2019-05-13 12:06:26,mytravel_goals,,Good morning 🗽 #NewYork #usa #StatueOfLiberty #aerialphotography https://t.co/32agEYTXNM
551,'1127903984335958016,2019-05-13 11:50:39,DonnaDeFazio,"The Constitution State, USA","@realDonaldTrump
America was ALWAYS Great!   
#StatueOfLiberty #Liberty #Freedom #America
https://t.co/0dpcdYjj21"
552,'1127817447375921153,2019-05-13 06:06:47,copaantl98,"Brooklyn, NY","Cold, windy, rainy trip to the Statue of Liberty. Well worth it to celebrate liz_mallard birthday weekend… https://t.co/mIgD65OL5r"
553,'1127810714679349248,2019-05-13 05:40:02,ElevatorWorld,United States,Your Daily Industry News update: #thyssenkrupp #IPO #EuropeanCommission #WashingonDC #elevators #TataSteel… https://t.co/kpz9effE1k
554,'1127735733823758336,2019-05-13 00:42:05,PositiveRishi,"New Delhi, India",Proud Of You for receiving @EIHonors! You are leader of change @amitabhshah #EllsIslandAward #StatueOfLiberty https://t.co/61XdTG6SaB
